"date","Port1_SM","Port2_SM","Port3_SM","Port4_SM","Port5_SM"
"2017-03-23 09:50:00",0.23376168310642242,0.1964118480682373,0.20060229301452637,0.27700841426849365,0.3114936947822571
"2017-03-23 10:00:00",0.23306119441986084,0.1941092312335968,0.20550312101840973,0.276386022567749,0.30472102761268616
"2017-03-23 10:10:00",0.23271048069000244,0.19372428953647614,0.20625217258930206,0.276386022567749,0.3032909333705902
"2017-03-23 10:20:00",0.23271048069000244,0.1933390200138092,0.20625217258930206,0.2766973674297333,0.3035774827003479
"2017-03-23 10:30:00",0.23271048069000244,0.1933390200138092,0.20587781071662903,0.2766973674297333,0.30300411581993103
"2017-03-23 10:40:00",0.23271048069000244,0.19295340776443481,0.20587781071662903,0.2766973674297333,0.3032909333705902
"2017-03-23 10:50:00",0.23235945403575897,0.19218119978904724,0.20587781071662903,0.2766973674297333,0.30300411581993103
"2017-03-23 11:00:00",0.23200811445713043,0.19218119978904724,0.20587781071662903,0.2766973674297333,0.3032909333705902
"2017-03-23 11:10:00",0.23165646195411682,0.19218119978904724,0.20550312101840973,0.276386022567749,0.3035774827003479
"2017-03-23 11:20:00",0.23165646195411682,0.19218119978904724,0.20512810349464417,0.276386022567749,0.3038637638092041
"2017-03-23 11:30:00",0.23165646195411682,0.19179458916187286,0.20475275814533234,0.276386022567749,0.3041497766971588
"2017-03-23 11:40:00",0.23165646195411682,0.19140763580799103,0.20475275814533234,0.276386022567749,0.30472102761268616
"2017-03-23 11:50:00",0.23130451142787933,0.19140763580799103,0.20437708497047424,0.276386022567749,0.30529120564460754
"2017-03-23 12:00:00",0.23130451142787933,0.19102035462856293,0.20437708497047424,0.276386022567749,0.30529120564460754
"2017-03-23 12:10:00",0.23095223307609558,0.19102035462856293,0.20437708497047424,0.2760744094848633,0.3055759072303772
"2017-03-23 12:20:00",0.23059964179992676,0.19102035462856293,0.20437708497047424,0.2760744094848633,0.3055759072303772
"2017-03-23 12:30:00",0.23095223307609558,0.19102035462856293,0.20437708497047424,0.2760744094848633,0.30614450573921204
"2017-03-23 12:40:00",0.23024673759937286,0.19102035462856293,0.20400108397006989,0.2760744094848633,0.3064284026622772
"2017-03-23 12:50:00",0.23024673759937286,0.19063274562358856,0.20362475514411926,0.2760744094848633,0.3067120313644409
"2017-03-23 13:00:00",0.2298935204744339,0.18985651433467865,0.20362475514411926,0.2760744094848633,0.30614450573921204
"2017-03-23 13:10:00",0.22953999042510986,0.1894678920507431,0.20400108397006989,0.2760744094848633,0.30614450573921204
"2017-03-23 13:20:00",0.22918614745140076,0.1894678920507431,0.20400108397006989,0.2760744094848633,0.30614450573921204
"2017-03-23 13:30:00",0.22883199155330658,0.1890789270401001,0.20400108397006989,0.2760744094848633,0.30614450573921204
"2017-03-23 13:40:00",0.22883199155330658,0.1890789270401001,0.20362475514411926,0.2760744094848633,0.3067120313644409
"2017-03-23 13:50:00",0.22883199155330658,0.1890789270401001,0.20362475514411926,0.2760744094848633,0.3069954216480255
"2017-03-23 14:00:00",0.22883199155330658,0.1890789270401001,0.20324809849262238,0.27576249837875366,0.3069954216480255
"2017-03-23 14:10:00",0.22883199155330658,0.18868963420391083,0.20324809849262238,0.27576249837875366,0.3069954216480255
"2017-03-23 14:20:00",0.22883199155330658,0.18868963420391083,0.20324809849262238,0.27576249837875366,0.3069954216480255
"2017-03-23 14:30:00",0.22883199155330658,0.1882999986410141,0.20324809849262238,0.27513784170150757,0.3067120313644409
"2017-03-23 14:40:00",0.22883199155330658,0.1882999986410141,0.20324809849262238,0.27513784170150757,0.3064284026622772
"2017-03-23 14:50:00",0.22847752273082733,0.1882999986410141,0.20324809849262238,0.27513784170150757,0.3067120313644409
"2017-03-23 15:00:00",0.22812272608280182,0.1882999986410141,0.20324809849262238,0.2748250663280487,0.3067120313644409
"2017-03-23 15:10:00",0.22776763141155243,0.1879100352525711,0.20324809849262238,0.2748250663280487,0.3067120313644409
"2017-03-23 15:20:00",0.22776763141155243,0.18751972913742065,0.20324809849262238,0.2748250663280487,0.3067120313644409
"2017-03-23 15:30:00",0.22776763141155243,0.18751972913742065,0.20287111401557922,0.2748250663280487,0.3067120313644409
"2017-03-23 15:40:00",0.22776763141155243,0.18712908029556274,0.20287111401557922,0.27451202273368835,0.3067120313644409
"2017-03-23 15:50:00",0.22741220891475677,0.18712908029556274,0.20287111401557922,0.27451202273368835,0.3067120313644409
"2017-03-23 16:00:00",0.22741220891475677,0.18673810362815857,0.20287111401557922,0.2741986811161041,0.3067120313644409
"2017-03-23 16:10:00",0.22741220891475677,0.18673810362815857,0.2024938017129898,0.2738850712776184,0.3067120313644409
"2017-03-23 16:20:00",0.22741220891475677,0.18673810362815857,0.2024938017129898,0.2738850712776184,0.3067120313644409
"2017-03-23 16:30:00",0.22705647349357605,0.18673810362815857,0.2024938017129898,0.2738850712776184,0.3067120313644409
"2017-03-23 16:40:00",0.22670044004917145,0.18634678423404694,0.20211616158485413,0.2738850712776184,0.3064284026622772
"2017-03-23 16:50:00",0.22670044004917145,0.18634678423404694,0.20211616158485413,0.2735711634159088,0.3064284026622772
"2017-03-23 17:00:00",0.22634407877922058,0.18595513701438904,0.20211616158485413,0.27325695753097534,0.3064284026622772
"2017-03-23 17:10:00",0.22634407877922058,0.18595513701438904,0.20211616158485413,0.27325695753097534,0.30614450573921204
"2017-03-23 17:20:00",0.22634407877922058,0.1855631321668625,0.20211616158485413,0.27325695753097534,0.30614450573921204
